date,max,max_time,min,min_time
2020/11/05,12928,08:50:00,12821,10:45:00
2020/11/06,12991,11:05:00,12896,12:05:00
2020/11/09,13175,09:35:00,13046,10:50:00
2020/11/10,13154,10:15:00,13010,12:20:00
2020/11/11,13281,13:35:00,13077,09:05:00
2020/11/12,13305,09:25:00,13193,12:40:00
2020/11/13,13285,13:45:00,13163,10:10:00
2020/11/16,13582,13:45:00,13406,08:50:00
2020/11/17,13737,09:05:00,13603,13:40:00
2020/11/18,13788,12:25:00,13621,09:05:00
2020/11/19,13750,09:25:00,13662,11:20:00
2020/11/20,13737,13:45:00,13640,09:15:00
2020/11/23,13943,09:35:00,13788,08:50:00
2020/11/24,13928,08:50:00,13777,13:35:00
2020/11/25,13909,09:00:00,13692,13:35:00
2020/11/26,13862,10:55:00,13741,09:25:00
2020/11/27,13890,12:50:00,13763,09:20:00
2020/11/30,13975,09:40:00,13704,13:35:00
2020/12/01,13885,13:30:00,13751,09:35:00
