date,open,high,low,close,volume
2019/04/02,10688,10704,10668,10676,78346
2019/04/03,10688,10728,10671,10693,92554
2019/04/08,10779,10795,10745,10770,91782
2019/04/09,10801,10848,10782,10843,70207
2019/04/10,10820,10869,10812,10862,69294
2019/04/11,10868,10885,10775,10806,108036
2019/04/12,10818,10831,10782,10802,74303
2019/04/15,10865,10895,10843,10876,72144
2019/04/16,10870,10932,10863,10931,78811
2019/04/17,10954,11010,10948,11004,57674
2019/04/18,11022,11039,10920,10939,117374
2019/04/19,11020,11036,10954,10972,88747
2019/04/22,11008,11030,10958,10978,77372
2019/04/23,10988,11024,10934,11024,103721
2019/04/24,11050,11057,10970,11009,108062
2019/04/25,10990,11041,10977,11031,84333
2019/04/26,10962,10972,10900,10933,117727
2019/04/29,10959,10978,10902,10932,90054
2019/04/30,10912,10961,10883,10952,99257
2019/05/02,10947,11033,10933,10978,110441
2019/05/03,10992,11094,10975,11092,105075
2019/05/06,10980,10980,10821,10857,157580
2019/05/07,10900,10996,10900,10970,112170
2019/05/08,10849,10943,10841,10893,122003
2019/05/09,10854,10866,10716,10746,160280
2019/05/10,10750,10850,10646,10745,233608
2019/05/13,10686,10708,10565,10576,141353
2019/05/14,10425,10571,10399,10532,161116
2019/05/15,10539,10609,10513,10579,76901
2019/05/16,10537,10574,10483,10488,135442
2019/05/17,10562,10566,10406,10411,147669
2019/05/20,10442,10485,10405,10433,137967
2019/05/21,10398,10502,10378,10487,139187
2019/05/22,10471,10515,10453,10480,116647
2019/05/23,10422,10424,10285,10310,140726
2019/05/24,10316,10386,10315,10344,109852
2019/05/27,10350,10390,10284,10333,103055
2019/05/28,10369,10374,10309,10340,87522
2019/05/29,10220,10295,10218,10291,94586
2019/05/30,10311,10382,10279,10367,118760
2019/05/31,10332,10493,10330,10455,132152
2019/06/03,10431,10477,10366,10471,129013
2019/06/04,10461,10483,10401,10416,91564
2019/06/05,10495,10510,10439,10456,101521
2019/06/06,10433,10437,10351,10360,111098
2019/06/10,10477,10546,10442,10539,122472
2019/06/11,10555,10618,10533,10592,101614
2019/06/12,10587,10611,10564,10592,87461
2019/06/13,10561,10589,10497,10529,113159
2019/06/14,10534,10558,10516,10529,76827
2019/06/17,10477,10565,10460,10545,101665
2019/06/18,10539,10576,10526,10553,65992
2019/06/19,10680,10800,10667,10770,78705
2019/06/20,10575,10605,10558,10591,81952
2019/06/21,10628,10641,10564,10585,96523
2019/06/24,10605,10647,10553,10623,91543
2019/06/25,10620,10630,10523,10540,99145
2019/06/26,10525,10541,10499,10503,83783
2019/06/27,10535,10642,10532,10622,107401
2019/06/28,10621,10627,10550,10580,82315
2019/07/01,10707,10780,10693,10767,97311
2019/07/02,10738,10766,10729,10749,60623
2019/07/03,10733,10741,10202,10641,110724
2019/07/04,10691,10729,10677,10710,77761
2019/07/05,10713,10749,10682,10718,77789
2019/07/08,10655,10711,10630,10665,105478
2019/07/09,10688,10699,10631,10650,79145
2019/07/10,10699,10741,10689,10731,99507
2019/07/11,10801,10833,10772,10814,83589
2019/07/12,10789,10830,10788,10810,67176
2019/07/15,10808,10860,10730,10849,115603
2019/07/16,10863,10892,10851,10876,72001
2019/07/17,10837,10855,10805,10831,70376
2019/07/18,10625,10676,10623,10651,78963
2019/07/19,10757,10792,10727,10744,96592
2019/07/22,10735,10798,10729,10794,78274
